,,date_time,week,type,sales_rep,number_of_sales,gross_sales,number_of_estimates,estimates_processed
103,103,2020-12-30 15:34:00,1,Customer Invoice,"Bolton, Michael",1,170.64376778989845,0,0
104,104,2020-12-30 15:40:00,1,Customer Invoice,"Incandenza, Hal",1,363.3886169012719,0,0
105,105,2020-12-30 16:54:00,1,Customer Invoice,"Portwood, Dom",1,1144.2583832547725,0,0
106,106,2020-12-30 16:55:00,1,Customer Invoice,"Incandenza, Hal",1,329.73499501331884,0,0
107,107,2020-12-30 16:59:00,1,Customer Invoice,"Incandenza, Hal",1,462.9662917282209,0,0
108,108,2020-12-30 17:09:00,1,Customer Invoice,"Bateman, Patrick",1,669.526326960852,0,0
109,109,2020-12-30 17:49:00,1,Customer Invoice,"Incandenza, Hal",1,159.36055843801645,0,0
110,110,2020-12-30 18:06:00,1,Customer Invoice,"Incandenza, Hal",1,248.86514288839396,0,0
111,111,2020-12-31 9:11:00,1,Estimate,"Lumbergh, Bill",0,1158.2621470891588,1,1
112,112,2020-12-31 9:12:00,1,Customer Invoice,"Lumbergh, Bill",1,969.8476767858467,0,0
113,113,2020-12-31 9:56:00,1,Estimate,"Germanotta, Stefani",0,68.82104806983983,1,0
114,114,2020-12-31 10:36:00,1,Estimate,"Lumbergh, Bill",0,1940.147594763309,1,0
115,115,2020-12-31 11:19:00,1,Estimate,"Germanotta, Stefani",0,2332.8292133095683,1,0
116,116,2020-12-31 11:22:00,1,Customer Invoice,"Portwood, Dom",1,284.83280125524567,0,0
117,117,2020-12-31 11:57:00,1,Estimate,"Germanotta, Stefani",0,687.7791474719049,1,0
118,118,2020-12-31 13:40:00,1,Customer Invoice,"Simone, Nina",1,12453.354826364339,0,0
119,119,2020-12-31 13:55:00,1,Estimate,"Germanotta, Stefani",0,863.5676351783062,1,0
120,120,2020-12-31 13:58:00,1,Estimate,"Simone, Nina",0,3546.6283531180015,1,0
121,121,2020-12-31 14:28:00,1,Customer Invoice,"Incandenza, Hal",1,1493.9539423121919,0,0
122,122,2020-12-31 14:53:00,1,Customer Invoice,"Incandenza, Hal",1,125.29089376566078,0,0
123,123,2020-12-31 14:56:00,1,Customer Invoice,"Incandenza, Hal",1,72.47742740175485,0,0
124,124,2020-12-31 14:59:00,1,Customer Invoice,"Incandenza, Hal",1,423.7701057810492,0,0
125,125,2020-12-31 15:29:00,1,Customer Invoice,"Cyrus, Mylie",1,2014.9731955046334,0,0
126,126,2020-12-31 20:08:00,1,Customer Invoice,"Bateman, Patrick",1,0.0,0,0
127,127,2021-01-01 22:31:00,1,Customer Invoice,"Incandenza, Hal",1,127.83144988523465,0,0
128,128,2021-01-01 22:38:00,1,Customer Invoice,"Incandenza, Hal",1,246.0649086205105,0,0
129,129,2021-01-01 22:48:00,1,Customer Invoice,"Incandenza, Hal",1,390.86687539498695,0,0
130,130,2021-01-02 10:55:00,1,Estimate,"Germanotta, Stefani",0,330.5903296593061,1,0
131,131,2021-01-02 10:43:00,1,Estimate,"Bolton, Michael",0,3737.5764747759995,1,1
132,132,2021-01-02 11:36:00,1,Estimate,"Lumbergh, Bill",0,5080.931318147437,1,1
133,133,2021-01-02 12:49:00,1,Estimate,"Germanotta, Stefani",0,133.01666220718866,1,1
134,134,2021-01-02 13:01:00,1,Estimate,"Lumbergh, Bill",0,233.16691185458347,1,1
135,135,2021-01-02 13:22:00,1,Estimate,"Lumbergh, Bill",0,1625.2732465511108,1,1
136,136,2021-01-02 13:44:00,1,Customer Invoice,"Lumbergh, Bill",1,1428.2624388847962,0,0
137,137,2021-01-02 13:55:00,1,Customer Invoice,"Lumbergh, Bill",1,191.7809008730616,0,0
138,138,2021-01-02 14:56:00,1,Estimate,"Germanotta, Stefani",0,2272.336561993825,1,1
139,139,2021-01-02 15:03:00,1,Estimate,"Lumbergh, Bill",0,2358.189217996903,1,1
140,140,2021-01-02 15:20:00,1,Customer Invoice,"Cyrus, Mylie",1,2557.4824193164955,0,0
141,141,2021-01-02 15:28:00,1,Customer Invoice,"Cyrus, Mylie",1,540.5594220514193,0,0
142,142,2021-01-02 15:38:00,1,Customer Invoice,"Cyrus, Mylie",1,167.88083039234016,0,0
143,143,2021-01-02 15:41:00,1,Customer Invoice,"Lumbergh, Bill",1,2018.675519999487,0,0
144,144,2021-01-02 16:16:00,1,Customer Invoice,"Cyrus, Mylie",1,337.8849145911314,0,0
145,145,2021-01-02 16:25:00,1,Customer Invoice,"Cyrus, Mylie",1,301.75075718577875,0,0
146,146,2021-01-02 16:31:00,1,Customer Invoice,"Cyrus, Mylie",1,1075.8374074265887,0,0
147,147,2021-01-02 16:38:00,1,Customer Invoice,"Cyrus, Mylie",1,221.69766959909919,0,0
148,148,2021-01-02 16:38:00,1,Estimate,"Lumbergh, Bill",0,1124.3160342515857,1,1
149,149,2021-01-02 16:39:00,1,Customer Invoice,"Lumbergh, Bill",1,1194.1798682367335,0,0
150,150,2021-01-02 17:31:00,1,Estimate,"Lumbergh, Bill",0,2103.0434247691023,1,1
151,151,2021-01-02 17:34:00,1,Customer Invoice,"Lumbergh, Bill",1,2150.722558956052,0,0
152,152,2021-01-03 11:29:00,2,Estimate,"Bolton, Michael",0,485.3984947482743,1,1
153,153,2021-01-03 12:40:00,2,Customer Invoice,"Simone, Nina",1,1008.4750533160822,0,0
154,154,2021-01-03 13:31:00,2,Estimate,"Simone, Nina",0,285.67174888007355,1,1
155,155,2021-01-03 13:32:00,2,Customer Invoice,"Simone, Nina",1,293.3427930947703,0,0
156,156,2021-01-03 13:53:00,2,Customer Invoice,"Bolton, Michael",1,488.38828316143656,0,0
157,157,2021-01-03 14:00:00,2,Estimate,"Bolton, Michael",0,821.9353876924515,1,1
158,158,2021-01-03 14:04:00,2,Customer Invoice,"Bolton, Michael",1,918.0630968559208,0,0
159,159,2021-01-03 14:05:00,2,Estimate,"Germanotta, Stefani",0,16079.814455249756,1,0
160,160,2021-01-03 14:09:00,2,Estimate,"Germanotta, Stefani",0,753.4401553689625,1,1
161,161,2021-01-03 14:28:00,2,Customer Invoice,"Germanotta, Stefani",1,640.1731073290742,0,0
162,162,2021-01-03 15:02:00,2,Estimate,"Germanotta, Stefani",0,1129.2000382591036,1,0
163,163,2021-01-03 15:35:00,2,Customer Invoice,"Germanotta, Stefani",1,13582.720698044128,0,0
164,164,2021-01-03 22:49:00,2,Estimate,"Cyrus, Mylie",0,3247.7111846266776,1,1
165,165,2021-01-04 8:31:00,2,Customer Invoice,"Bolton, Michael",1,2452.178540634308,0,0
166,166,2021-01-04 8:32:00,2,Customer Invoice,"Bateman, Patrick",1,240.459049319685,0,0
167,167,2021-01-04 9:36:00,2,Estimate,"Bolton, Michael",0,1964.0063442465903,1,1
168,168,2021-01-04 9:46:00,2,Customer Invoice,"Cyrus, Mylie",1,845.3964612925471,0,0
169,169,2021-01-04 9:55:00,2,Customer Invoice,"Cyrus, Mylie",1,126.30598238048846,0,0
170,170,2021-01-04 10:00:00,2,Estimate,"Simone, Nina",0,651.8534544307402,1,1
171,171,2021-01-04 10:13:00,2,Customer Invoice,"Simone, Nina",1,597.2702163919391,0,0
172,172,2021-01-04 11:24:00,2,Customer Invoice,"Germanotta, Stefani",1,59.628251554972564,0,0
173,173,2021-01-04 12:02:00,2,Estimate,"Lumbergh, Bill",0,7182.3089479523405,1,1
174,174,2021-01-04 12:42:00,2,Estimate,"Bolton, Michael",0,323.1243450597346,1,1
175,175,2021-01-04 12:48:00,2,Customer Invoice,"Bolton, Michael",1,270.1548227350723,0,0
176,176,2021-01-04 13:05:00,2,Estimate,"Germanotta, Stefani",0,10390.498059966205,1,0
177,177,2021-01-04 13:29:00,2,Customer Invoice,"Cyrus, Mylie",1,1933.170048291163,0,0
178,178,2021-01-04 13:31:00,2,Estimate,"Portwood, Dom",0,1007.4750431558062,1,1
179,179,2021-01-04 13:37:00,2,Estimate,"Germanotta, Stefani",0,632.555433951988,1,1
180,180,2021-01-04 13:56:00,2,Estimate,"Lumbergh, Bill",0,256.8754373992451,1,1
181,181,2021-01-04 14:02:00,2,Customer Invoice,"Lumbergh, Bill",1,4375.484069238815,0,0
182,182,2021-01-04 14:34:00,2,Estimate,"Lumbergh, Bill",0,461.53563527479525,1,1
183,183,2021-01-04 14:38:00,2,Customer Invoice,"Lumbergh, Bill",1,389.47888134443696,0,0
184,184,2021-01-04 14:53:00,2,Estimate,"Lumbergh, Bill",0,1990.5427727069487,1,1
185,185,2021-01-04 15:15:00,2,Customer Invoice,"Lumbergh, Bill",1,1994.9675045701306,0,0
186,186,2021-01-04 15:36:00,2,Customer Invoice,"Bateman, Patrick",1,684.9844618962686,0,0
187,187,2021-01-04 15:41:00,2,Customer Invoice,"Bateman, Patrick",1,548.1885589074221,0,0
188,188,2021-01-04 15:56:00,2,Customer Invoice,"Portwood, Dom",1,1059.9848064396529,0,0
189,189,2021-01-04 16:38:00,2,Estimate,"Portwood, Dom",0,1517.8540830405955,1,0
190,190,2021-01-04 16:49:00,2,Customer Invoice,"Portwood, Dom",1,1011.7424014339264,0,0
191,191,2021-01-04 17:06:00,2,Customer Invoice,"Cyrus, Mylie",1,2234.455480677206,0,0
192,192,2021-01-04 17:12:00,2,Estimate,"Portwood, Dom",0,3720.8944840160493,1,1
193,193,2021-01-04 17:16:00,2,Estimate,"Germanotta, Stefani",0,516.3709667125179,1,0
194,194,2021-01-04 17:18:00,2,Estimate,"Bolton, Michael",0,2490.346066970352,1,1
195,195,2021-01-04 17:50:00,2,Cash Sale,"Germanotta, Stefani",1,309.0516924231368,0,0
196,196,2021-01-05 8:35:00,2,Customer Invoice,"Lumbergh, Bill",1,292.4384682363466,0,0
197,197,2021-01-05 9:25:00,2,Estimate,"Simone, Nina",0,805.0199174830785,1,1
198,198,2021-01-05 9:29:00,2,Customer Invoice,"Lumbergh, Bill",1,2253.1155717705087,0,0
199,199,2021-01-05 9:53:00,2,Estimate,"Bolton, Michael",0,1271.2161551125544,1,1
200,200,2021-01-05 9:54:00,2,Estimate,"Simone, Nina",0,864.7649961346278,1,1
201,201,2021-01-05 9:58:00,2,Customer Invoice,"Cyrus, Mylie",1,809.2228131517043,0,0
202,202,2021-01-05 9:59:00,2,Customer Invoice,"Bolton, Michael",1,1481.5113318267327,0,0
203,203,2021-01-05 10:01:00,2,Customer Invoice,"Incandenza, Hal",1,175.39623161316456,0,0
204,204,2021-01-05 10:17:00,2,Customer Invoice,"Simone, Nina",1,946.1261136701844,0,0
205,205,2021-01-05 10:31:00,2,Customer Invoice,"Cyrus, Mylie",1,1029.7519951083304,0,0
206,206,2021-01-05 10:34:00,2,Estimate,"Simone, Nina",0,450.64587986928115,1,1
207,207,2021-01-05 10:37:00,2,Customer Invoice,"Simone, Nina",1,439.50845516140055,0,0
208,208,2021-01-05 10:57:00,2,Customer Invoice,"Bateman, Patrick",1,700.8787873281642,0,0
209,209,2021-01-05 11:22:00,2,Estimate,"Bateman, Patrick",0,4081.2663891906077,1,0
210,210,2021-01-05 11:42:00,2,Customer Invoice,"Incandenza, Hal",1,349.223404564953,0,0
211,211,2021-01-05 11:53:00,2,Estimate,"Bolton, Michael",0,572.991296146409,1,1
212,212,2021-01-05 11:54:00,2,Customer Invoice,"Bolton, Michael",1,492.1648580350786,0,0
213,213,2021-01-05 12:01:00,2,Estimate,"Germanotta, Stefani",0,66.9419899639016,1,1
214,214,2021-01-05 12:39:00,2,Customer Invoice,"Portwood, Dom",1,2995.315638166491,0,0
215,215,2021-01-05 13:50:00,2,Estimate,"Germanotta, Stefani",0,622.2978295233174,1,0
216,216,2021-01-05 13:54:00,2,Customer Invoice,"Germanotta, Stefani",1,579.0291412517676,0,0
217,217,2021-01-05 13:59:00,2,Customer Invoice,"Cyrus, Mylie",1,125.76379358429317,0,0
218,218,2021-01-05 14:02:00,2,Estimate,"Lumbergh, Bill",0,197.1639049469838,1,1
219,219,2021-01-05 14:02:00,2,Customer Invoice,"Lumbergh, Bill",1,225.67532374829364,0,0
220,220,2021-01-05 14:03:00,2,Customer Invoice,"Cyrus, Mylie",1,356.0248527446221,0,0
221,221,2021-01-05 16:42:00,2,Estimate,"Bolton, Michael",0,410.81375843445926,1,1
222,222,2021-01-05 16:42:00,2,Customer Invoice,"Bolton, Michael",1,428.1230051726071,0,0
223,223,2021-01-05 17:15:00,2,Customer Invoice,"Cyrus, Mylie",1,897.9646641837224,0,0
224,224,2021-01-05 17:48:00,2,Customer Invoice,"Incandenza, Hal",1,533.9335601719546,0,0
225,225,2021-01-06 8:52:00,2,Estimate,"Lumbergh, Bill",0,392.8416751993606,1,1
226,226,2021-01-06 9:29:00,2,Customer Invoice,"Cyrus, Mylie",1,2173.8660042153037,0,0
227,227,2021-01-06 10:56:00,2,Customer Invoice,"Simone, Nina",1,828.9681533580065,0,0
228,228,2021-01-06 11:13:00,2,Estimate,"Cyrus, Mylie",0,2342.890283808261,1,0
229,229,2021-01-06 11:38:00,2,Customer Invoice,"Incandenza, Hal",1,532.3181227333938,0,0
230,230,2021-01-06 12:44:00,2,Customer Invoice,"Incandenza, Hal",1,723.0568807799331,0,0
231,231,2021-01-06 13:07:00,2,Customer Invoice,"Bolton, Michael",1,4497.497315139749,0,0
232,232,2021-01-06 13:25:00,2,Customer Invoice,"Incandenza, Hal",1,362.429805220003,0,0
233,233,2021-01-06 13:33:00,2,Customer Invoice,"Bolton, Michael",1,487.8775505460852,0,0
234,234,2021-01-06 13:33:00,2,Estimate,"Lumbergh, Bill",0,7349.410298684091,1,0
235,235,2021-01-06 13:50:00,2,Customer Invoice,"Incandenza, Hal",1,290.4871412461273,0,0
236,236,2021-01-06 14:36:00,2,Estimate,"Simone, Nina",0,8026.860506659114,1,1
237,237,2021-01-06 14:43:00,2,Customer Invoice,"Simone, Nina",1,7847.063239916694,0,0
238,238,2021-01-06 15:48:00,2,Estimate,"Lumbergh, Bill",0,998.4976715010295,1,1
239,239,2021-01-06 15:48:00,2,Customer Invoice,"Lumbergh, Bill",1,974.6488035028618,0,0
240,240,2021-01-06 17:44:00,2,Estimate,"Bateman, Patrick",0,2038.3056617615423,1,1
241,241,2021-01-06 18:02:00,2,Customer Invoice,"Cyrus, Mylie",1,941.2358802858614,0,0
242,242,2021-01-07 9:14:00,2,Customer Invoice,"Incandenza, Hal",1,122.19921612093269,0,0
243,243,2021-01-07 9:19:00,2,Customer Invoice,"Incandenza, Hal",1,284.5920277427613,0,0
244,244,2021-01-07 9:44:00,2,Estimate,"Portwood, Dom",0,2105.3512270528763,1,0
245,245,2021-01-07 11:36:00,2,Customer Invoice,"Cyrus, Mylie",1,2994.4188419858124,0,0
246,246,2021-01-07 11:45:00,2,Estimate,"Germanotta, Stefani",0,208.33046872931388,1,1
247,247,2021-01-07 12:02:00,2,Estimate,"Portwood, Dom",0,271.5418388883534,1,1
248,248,2021-01-07 12:10:00,2,Estimate,"Germanotta, Stefani",0,2905.499085553481,1,0
249,249,2021-01-07 12:12:00,2,Estimate,"Lumbergh, Bill",0,5862.074078662765,1,0
250,250,2021-01-07 12:15:00,2,Customer Invoice,"Portwood, Dom",1,343.51816318179783,0,0
251,251,2021-01-07 12:29:00,2,Customer Invoice,"Lumbergh, Bill",1,375.7066995442789,0,0
252,252,2021-01-07 12:35:00,2,Customer Invoice,"Germanotta, Stefani",1,209.18837658947808,0,0
253,253,2021-01-07 12:36:00,2,Estimate,"Bateman, Patrick",0,1137.5600209985296,1,1
254,254,2021-01-07 12:43:00,2,Customer Invoice,"Bateman, Patrick",1,1359.066461218358,0,0
255,255,2021-01-07 12:55:00,2,Estimate,"Lumbergh, Bill",0,256.7671014656804,1,1
256,256,2021-01-07 13:27:00,2,Estimate,"Bateman, Patrick",0,3165.4404520088838,1,1
257,257,2021-01-07 13:37:00,2,Customer Invoice,"Lumbergh, Bill",1,699.3455342864156,0,0
258,258,2021-01-07 14:16:00,2,Customer Invoice,"Germanotta, Stefani",1,195.2154749749247,0,0
259,259,2021-01-07 14:17:00,2,Estimate,"Bateman, Patrick",0,1446.9515679616134,1,0
260,260,2021-01-07 14:22:00,2,Estimate,"Lumbergh, Bill",0,160.58557712058982,1,1
261,261,2021-01-07 14:30:00,2,Customer Invoice,"Cyrus, Mylie",1,1029.1482606500963,0,0
262,262,2021-01-07 14:40:00,2,Customer Invoice,"Lumbergh, Bill",1,183.49054689443733,0,0
263,263,2021-01-07 14:53:00,2,Estimate,"Germanotta, Stefani",0,1038.772072600398,1,0
264,264,2021-01-07 15:26:00,2,Customer Invoice,"Cyrus, Mylie",1,0.0,0,0
265,265,2021-01-07 16:11:00,2,Customer Invoice,"Germanotta, Stefani",1,4737.7496071932765,0,0
266,266,2021-01-07 16:11:00,2,Customer Invoice,"Germanotta, Stefani",1,1209.7242652412951,0,0
267,267,2021-01-07 16:11:00,2,Customer Invoice,"Bateman, Patrick",1,1106.0658338308258,0,0
268,268,2021-01-07 16:14:00,2,Customer Invoice,"Bateman, Patrick",1,1580.34327549123,0,0
269,269,2021-01-07 16:16:00,2,Customer Invoice,"Portwood, Dom",1,7632.9163384474905,0,0
270,270,2021-01-07 16:21:00,2,Customer Invoice,"Bateman, Patrick",1,882.1409552556227,0,0
271,271,2021-01-07 16:38:00,2,Customer Invoice,"Bateman, Patrick",1,379.8172006883696,0,0
